text,mood,source
i feel like i am drowning in sadness and cannot get out,sadness,emotions_kaggle
i am lonely and have no one to talk to,loneliness,extended_synthetic
love is keeping me going through the difficult times,positive,emotions_kaggle
i feel invisible and like nobody cares about me,loneliness,extended_synthetic
i feel unmotivated and stuck in life,low_motivation,extended_synthetic
i am heartbroken and don't know how to move forward,sadness,emotions_kaggle
i have no energy or willpower to accomplish anything,low_motivation,extended_synthetic
this is the best day i have had in a long time pure joy,positive,emotions_kaggle
i lie awake for hours and cannot fall asleep,insomnia,extended_synthetic
i am burned out and stressed from everything,stress,extended_synthetic
the pressure is too much and i am stressed,stress,extended_synthetic
i feel a deep sense of dread and cannot explain why i am scared,anxiety,emotions_kaggle
i feel numb and disconnected from everything and everyone,sadness,emotions_kaggle
nobody understands me and i am all alone,loneliness,extended_synthetic
nobody understands me and i am all alone,loneliness,extended_synthetic
sleep has become impossible for me lately,insomnia,extended_synthetic
i feel like i am drowning in sadness and cannot get out,sadness,emotions_kaggle
i am livid and feel like i could scream right now,anger,emotions_kaggle
i am outraged by what happened it was completely unacceptable,anger,emotions_kaggle
i dread going to bed because i know i will not sleep,insomnia,extended_synthetic
i feel frantic and stressed with no relief in sight,stress,extended_synthetic
i cannot control my anger everything is making me mad,anger,emotions_kaggle
this is the best day i have had in a long time pure joy,positive,emotions_kaggle
i feel shocked and surprised by the sudden change of events,positive,emotions_kaggle
i am so angry and frustrated this is completely unfair,anger,emotions_kaggle
i am grieving and the pain feels unbearable right now,sadness,emotions_kaggle
i feel surprised and amazed by the unexpected good news,positive,emotions_kaggle
i cannot control my anger everything is making me mad,anger,emotions_kaggle
i feel like i am drowning in sadness and cannot get out,sadness,emotions_kaggle
the fear is constant and i cannot find any peace or safety,anxiety,emotions_kaggle
i am overjoyed my dreams are finally coming true,positive,emotions_kaggle
my frustration has turned into full blown rage and anger,anger,emotions_kaggle
i cannot sleep at night no matter what i try,insomnia,extended_synthetic
the weight of everything is crushing me,overwhelmed,extended_synthetic
i am drowning in tasks and feel paralysed,overwhelmed,extended_synthetic
everything feels wonderful and i am in a great mood,positive,emotions_kaggle
i keep having panic attacks in public and now i avoid going out altogether,anxiety,counseling_kaggle
i feel completely alone and like no one understands what i am going through,loneliness,counseling_kaggle
i feel warmth and affection for everyone in my life today,positive,emotions_kaggle
i feel stressed and tense all the time,stress,extended_synthetic
my frustration has turned into full blown rage and anger,anger,emotions_kaggle
the sadness is crushing me and i feel completely alone,sadness,emotions_kaggle
i am so angry and frustrated this is completely unfair,anger,emotions_kaggle
i feel stunned and do not know how to process this news,positive,emotions_kaggle
i feel disconnected from myself like i am just going through the motions,loneliness,counseling_kaggle
i feel light and joyful like nothing can bring me down,positive,emotions_kaggle
i did not see this coming at all what a surprise,positive,emotions_kaggle
the sadness is crushing me and i feel completely alone,sadness,emotions_kaggle
i am at my breaking point and cannot handle more,overwhelmed,extended_synthetic
the fear is constant and i cannot find any peace or safety,anxiety,emotions_kaggle
i feel so happy and grateful today everything is going well,positive,emotions_kaggle
my mind races at night and keeps me awake,insomnia,extended_synthetic
i am so stressed out i cannot think straight,stress,extended_synthetic
i feel lazy and have zero motivation,low_motivation,extended_synthetic
i am furious at the way i have been treated it is unjust,anger,emotions_kaggle
everything is falling apart and i feel helpless,overwhelmed,extended_synthetic
i feel lazy and have zero motivation,low_motivation,extended_synthetic
the sadness is crushing me and i feel completely alone,sadness,emotions_kaggle
i feel rage building inside me and i want to explode,anger,emotions_kaggle
i feel like i am drowning in sadness and cannot get out,sadness,emotions_kaggle
i am at my breaking point and cannot handle more,overwhelmed,extended_synthetic
i have lost all drive and energy,low_motivation,extended_synthetic
i feel unmotivated and stuck in life,low_motivation,extended_synthetic
i am outraged by what happened it was completely unacceptable,anger,emotions_kaggle
i have no motivation to do anything at all,low_motivation,extended_synthetic
i have been feeling very angry lately and i take it out on people i love,anger,counseling_kaggle
