content_id,title,type,tags,description,mood_tags,difficulty,duration,link
1,5-Minute Box Breathing Exercise,exercise,"stress,anxiety,breathing,calm,quick","Box breathing: inhale 4 counts, hold 4, exhale 4, hold 4. Repeat 5 cycles. Used by Navy SEALs and elite athletes to rapidly calm the nervous system. Activates the parasympathetic response within 90 seconds.","stress,anxiety,overwhelmed,panic,anger",beginner,5 mins,https://www.youtube.com/watch?v=tEmt1Znux58
2,Progressive Muscle Relaxation (Full Body),exercise,"stress,tension,body,relaxation,sleep","Systematically tense and release each muscle group from toes to forehead. Reduces chronic physical tension stored from stress. Research shows 30-40% reduction in cortisol after a single session.","stress,tension,anger,insomnia,anxiety",beginner,20 mins,https://www.youtube.com/watch?v=1nZEdqcGVzo
3,The 5-4-3-2-1 Grounding Technique,exercise,"anxiety,grounding,mindfulness,panic,senses","Name 5 things you see, 4 you can touch, 3 you hear, 2 you smell, 1 you taste. Pulls your mind from spiralling thoughts back to the present moment. Works within 2-3 minutes for most people.","anxiety,panic,dissociation,overwhelmed,stress",beginner,5 mins,https://www.therapistaid.com/therapy-worksheet/5-4-3-2-1-grounding
4,10-Minute Guided Meditation for Anxiety,exercise,"anxiety,meditation,mindfulness,calm,guided","A gentle guided session combining breath awareness and body scan. No experience required. Research shows even single sessions reduce cortisol and self-reported anxiety significantly.","anxiety,stress,overwhelmed,restless,insomnia",beginner,10 mins,https://www.youtube.com/watch?v=O-6f5wQXSu8
5,Journaling for Difficult Emotions (15 Prompts),exercise,"journaling,emotions,self-awareness,processing,writing","15 CBT-informed prompts to write through sadness, anger, or confusion. Externalising emotions on paper creates psychological distance and measurably reduces their intensity.","sadness,confusion,anger,grief,low_self_esteem",beginner,20 mins,https://positivepsychology.com/journaling-for-mental-health/
6,Yoga for Stress Relief — Beginner Flow,exercise,"yoga,stress,body,movement,calm,flexibility","A 20-minute gentle flow focusing on hip openers and forward folds — poses that directly activate the parasympathetic nervous system. No prior yoga experience required.","stress,tension,sadness,low_energy,anxiety",beginner,20 mins,https://www.youtube.com/watch?v=v7AYKMP6rOE
7,Cold Water Face Splash Reset,exercise,"stress,anxiety,quick,reset,nervous-system","Splash cold water on your face or hold ice cubes for 30 seconds. Activates the dive reflex, slowing heart rate almost immediately. One of the fastest physiological interventions known.","stress,anxiety,anger,panic,overwhelmed",beginner,2 mins,https://www.healthline.com/health/what-is-the-dive-reflex
8,Body Scan Meditation (15 Minutes),exercise,"mindfulness,body,awareness,relaxation,grounding","A guided body scan teaching you to notice physical sensations without judgment. Restores the mind-body connection often severed by chronic stress and anxiety.","stress,dissociation,anxiety,low_energy,insomnia",intermediate,15 mins,https://www.youtube.com/watch?v=QS2yDmWk0vs
9,Loving-Kindness (Metta) Meditation,exercise,"compassion,self-esteem,relationships,meditation,warmth","Generate warmth for yourself and others through this ancient Buddhist practice. Clinical trials show measurable increases in positive affect and decreases in self-criticism after 8 weeks.","low_self_esteem,loneliness,anger,sadness,anxiety",beginner,12 mins,https://www.youtube.com/watch?v=sz7cpV7ERsM
10,TIPP Skills — Dialectical Behaviour Therapy,exercise,"crisis,emotions,DBT,coping,regulation","DBT's TIPP: Temperature change (cold water), Intense exercise, Paced breathing, Paired muscle relaxation. Fast-acting for when emotions feel out of control. Clinically validated.","overwhelmed,panic,anger,crisis,stress",intermediate,10 mins,https://dialecticalbehaviortherapy.com/distress-tolerance/tipp/
11,Mindful Walking Meditation,exercise,"mindfulness,movement,nature,anxiety,grounding","Transform a walk into meditation by focusing on each step, breath, and sensory input. Research: 20 minutes in nature drops cortisol by 21%. No equipment needed.","anxiety,stress,low_energy,sadness,low_motivation",beginner,20 mins,https://www.mindful.org/daily-mindfulness-walking/
12,4-7-8 Breathing for Panic Attacks,exercise,"panic,breathing,emergency,anxiety,fast","The 4-7-8 technique: inhale 4, hold 7, exhale 8. Activates the vagus nerve and forces a state of calm. Dr Andrew Weil calls it a natural tranquiliser for the nervous system.","panic,anxiety,overwhelmed,crisis,stress",beginner,5 mins,https://www.healthline.com/health/4-7-8-breathing
